Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
25/01/2020,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,1.99,0,Computer Equipment & Services,"Computers, peripherals & software"
31/01/2020,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,12.02,0,General Retail and Wholesale,Miscellaneous retail
31/01/2020,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,20.78,0,General Retail and Wholesale,Miscellaneous retail
01/02/2020,BOW PRIMARY SCH-CP0728252GBP,AMZNMKTPLACE AMAZON.CO.UK,43.74,0,General Retail and Wholesale,Miscellaneous retail
02/02/2020,BOW PRIMARY SCH-CP0728252GBP,Amazon.co.uk JH1R806N5,11.65,0,Mail Order / Direct Selling,Direct sales companies
03/02/2020,BOW PRIMARY SCH-CP0728252GBP,AMZNMktplace,3.39,0,General Retail and Wholesale,Miscellaneous retail
09/02/2020,BOW PRIMARY SCH-CP0728252GBP,HP INC UK LIMITED,7.99,0,Computer Equipment & Services,"Computers, peripherals & software"
14/02/2020,BOW PRIMARY SCH-CP0728252GBP,THE POST OFFICE,16.57,0,Mail and Courier Services,Postal services
23/01/2020,CASTLE PRIMARY-CP0728262GBP,AMZNMktplace,2.99,0,General Retail and Wholesale,Miscellaneous retail
25/01/2020,CASTLE PRIMARY-CP0728262GBP,AMZNMktplace,105.22,0,General Retail and Wholesale,Miscellaneous retail
30/01/2020,CASTLE PRIMARY-CP0728262GBP,EE LIMITED,16.42,0,Telecommunication Services,Phone services
31/01/2020,CASTLE PRIMARY-CP0728262GBP,DECISIVE DATA LTD,129.6,0,Computer Equipment & Services,Computer software stores
05/02/2020,CASTLE PRIMARY-CP0728262GBP,AMAZON.CO.UK 5523L97I5 AM,37.18,0,General Retail and Wholesale,Miscellaneous retail
15/02/2020,CASTLE PRIMARY-CP0728262GBP,AMZNMKTPLACE AMAZON.CO.UK,31.98,0,General Retail and Wholesale,Miscellaneous retail
23/01/2020,CHUDLEIGH-CP0685924GBP,SUMUP   CHUDLEIGH DIY,91.36,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,CHUDLEIGH-CP0685924GBP,TESCO STORE 2920,47,0,General Retail and Wholesale,Grocery stores
30/01/2020,CHUDLEIGH-CP0685924GBP,ALAMY.COM LIMITED,11.99,0,General Retail and Wholesale,Art dealers & galleries
30/01/2020,CHUDLEIGH-CP0685924GBP,AMZNMktplace,66.95,0,General Retail and Wholesale,Miscellaneous retail
30/01/2020,CHUDLEIGH-CP0685924GBP,DWN LIMITED,21.56,0,General Retail and Wholesale,Miscellaneous retail
30/01/2020,CHUDLEIGH-CP0685924GBP,TESCO STORE 2920,12.5,0,General Retail and Wholesale,Grocery stores
07/02/2020,CHUDLEIGH-CP0685924GBP,CO-OP GROUP 160645,17.6,0,General Retail and Wholesale,Grocery stores
27/01/2020,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,99.52,0,General Retail and Wholesale,Grocery stores
29/01/2020,COUNTESS WEAR PRI-CP0681219GBP,TESCO SUBSCRIPTION,6.99,0,Mail Order / Direct Selling,Continuous subscriptions
03/02/2020,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,99.45,0,General Retail and Wholesale,Grocery stores
03/02/2020,COUNTESS WEAR PRI-CP0681219GBP,TVLICENSING.CO.UK,154.5,0,Professional Services,Consultants & public relation services
10/02/2020,COUNTESS WEAR PRI-CP0681219GBP,TESCO STORE 2487,56.17,0,General Retail and Wholesale,Grocery stores
24/01/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  TEN TORS,576,0,Leisure Activities,"Civic, social & fraternal associations"
27/01/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  FRANTICELIX EB,45.28,0,General Retail and Wholesale,Misc. home furnishing
28/01/2020,CULLOMPTON COM CO-CP0727728GBP,TESCO STORES 5138,79.55,0,General Retail and Wholesale,Grocery stores
29/01/2020,CULLOMPTON COM CO-CP0727728GBP,TESCO SUBSCRIPTION,3.49,0,Mail Order / Direct Selling,Continuous subscriptions
03/02/2020,CULLOMPTON COM CO-CP0727728GBP,One.com,49.72,0,Computer Equipment & Services,Computer network information services
04/02/2020,CULLOMPTON COM CO-CP0727728GBP,TESCO STORES 5138,140.74,0,General Retail and Wholesale,Grocery stores
04/02/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  TILLWHITEHE EB,28.45,0,Professional Services,Professional services
06/02/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  TECHVS LTD EBA,31.42,0,General Retail and Wholesale,Electronics shops
11/02/2020,CULLOMPTON COM CO-CP0727728GBP,TESCO STORES 5138,99.64,0,General Retail and Wholesale,Grocery stores
11/02/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  TRAINLINE,149.5,0,Travel - Air/Rail/Road,Transportation services
12/02/2020,CULLOMPTON COM CO-CP0727728GBP,PAYPAL  TRAINLINE,135,0,Travel - Air/Rail/Road,Transportation services
23/01/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,8.3,0,General Retail and Wholesale,Miscellaneous retail
24/01/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,25,0,General Retail and Wholesale,Miscellaneous retail
24/01/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,8.95,0,General Retail and Wholesale,Miscellaneous retail
26/01/2020,D C C WESTCROFT JUNIOR SCHOOL,DNH GODADDY.COM EUROPE,22.92,0,Computer Equipment & Services,Computer network information services
26/01/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,81.86,0,General Retail and Wholesale,Miscellaneous retail
26/01/2020,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk 9H2J23WX5,43.35,0,Mail Order / Direct Selling,Direct sales companies
27/01/2020,D C C WESTCROFT JUNIOR SCHOOL,MISUPPLIES,46.96,0,Business Clothing and Footwear,Uniforms & commercial clothing
29/01/2020,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk 2L5FL5Z75,19.5,0,Mail Order / Direct Selling,Direct sales companies
29/01/2020,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk PS3GF9CP5,25.91,0,Mail Order / Direct Selling,Direct sales companies
31/01/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,27.98,0,General Retail and Wholesale,Miscellaneous retail
01/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,60,0,General Retail and Wholesale,Miscellaneous retail
03/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,305.39,0,General Retail and Wholesale,Miscellaneous retail
04/02/2020,D C C WESTCROFT JUNIOR SCHOOL,GO-BANANA.COM,449.97,0,Computer Equipment & Services,Computer software stores
04/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,20.59,0,General Retail and Wholesale,Miscellaneous retail
04/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMKTPLACE AMAZON.CO.UK,89.94,0,General Retail and Wholesale,Miscellaneous retail
05/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,8.9,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,305.39,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,66.6,0,General Retail and Wholesale,Miscellaneous retail
09/02/2020,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk VJ5WZ02J5,14.97,0,Mail Order / Direct Selling,Direct sales companies
10/02/2020,D C C WESTCROFT JUNIOR SCHOOL,WWW.BOSTONSEEDS.CO,20.5,0,Estate and Garden Services,Lawn & garden supply/nursery
10/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,63,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,D C C WESTCROFT JUNIOR SCHOOL,WWW.DEVON.GOV.UK,20,0,Training and Educational,Colleges & universities
11/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMKTPLACE AMAZON.CO.UK,55.6,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,D C C WESTCROFT JUNIOR SCHOOL,WWW.OFFICEFURNITUREONLINE,295.2,0,"Office Stationery, Equipment and Supplies",Office & commercial furniture
12/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,8.9,0,General Retail and Wholesale,Miscellaneous retail
12/02/2020,D C C WESTCROFT JUNIOR SCHOOL,EB  OUTSTANDING EARLY,314.37,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
13/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZ New Age Kurling,-66.6,0,General Retail and Wholesale,Miscellaneous retail
14/02/2020,D C C WESTCROFT JUNIOR SCHOOL,Amazon.co.uk 0K4EP7F85,16.08,0,Mail Order / Direct Selling,Direct sales companies
16/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMAZON.CO.UK QK5CW0MR5 AM,82.91,0,General Retail and Wholesale,Miscellaneous retail
16/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,77.97,0,General Retail and Wholesale,Miscellaneous retail
16/02/2020,D C C WESTCROFT JUNIOR SCHOOL,WWW.THEWORKS.CO.UK,69.5,0,General Retail and Wholesale,Discount stores
16/02/2020,D C C WESTCROFT JUNIOR SCHOOL,AMZNMktplace,56.71,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC - AXE BEACON-CP0697835GBP,WWW.STA.CO.UK,49,0,Leisure Activities,Misc. recreational services
07/02/2020,DCC - AXE BEACON-CP0697835GBP,EDSHED,79.67,0,Computer Equipment & Services,Computer software stores
11/02/2020,DCC - AXE BEACON-CP0697835GBP,NRS HEALTHCARE,18.89,0,Medical Supplies and Services,Hearing aid sales & services
12/02/2020,DCC - AXE BEACON-CP0697835GBP,AMZNMKTPLACE AMAZON.CO.UK,50.07,0,General Retail and Wholesale,Miscellaneous retail
19/02/2020,DCC - AXE BEACON-CP0697835GBP,DNH GODADDY.COM EUROPE,71.94,0,Computer Equipment & Services,Computer network information services
19/02/2020,DCC - AXE BEACON-CP0697835GBP,ETSY.COM - ISEEMATHS,44.97,0,General Retail and Wholesale,Misc. clothing & accessory shops
20/02/2020,DCC - AXE BEACON-CP0697835GBP,AMZNMktplace,34.8,0,General Retail and Wholesale,Miscellaneous retail
20/02/2020,DCC - AXE BEACON-CP0697835GBP,Amazon.co.uk M31JV9F35,12.94,0,Mail Order / Direct Selling,Direct sales companies
14/02/2020,DCC - CAREY FEDER-CP0687759GBP,JUNCTION CORNER NEWS,37.11,0,General Retail and Wholesale,Grocery stores
07/02/2020,DCC - DENBURY PRI-CP0697771GBP,AMZNMktplace,28,0,General Retail and Wholesale,Miscellaneous retail
16/02/2020,DCC - DENBURY PRI-CP0697771GBP,Amazon.co.uk OU4826IC5,14.49,0,Mail Order / Direct Selling,Direct sales companies
27/01/2020,DCC  EMERGENCY DU-CP0689083GBP,AMZNMktplace,8.49,0,General Retail and Wholesale,Miscellaneous retail
27/01/2020,DCC  EMERGENCY DU-CP0689083GBP,ARGOS LTD,60,0,General Retail and Wholesale,Discount stores
09/02/2020,DCC  EMERGENCY DU-CP0689083GBP,PREMIER INN44014875,72,0,Hotels and Accommodation,Premier Inn
10/02/2020,DCC  EMERGENCY DU-CP0689083GBP,TRAVELODGE GB0000,104.52,0,Hotels and Accommodation,Travelodge
23/01/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,39.99,0,General Retail and Wholesale,Discount stores
24/01/2020,DCC - HILLCREST-CP0769859GBP,Amazon Prime,-7.99,0,Mail Order / Direct Selling,Continuous subscriptions
25/01/2020,DCC - HILLCREST-CP0769859GBP,OTTER NURSERIES LT,10.75,0,Estate and Garden Services,Lawn & garden supply/nursery
25/01/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,106.4,0,General Retail and Wholesale,Grocery stores
31/01/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,149.88,0,General Retail and Wholesale,Grocery stores
01/02/2020,DCC - HILLCREST-CP0769859GBP,B&M RETAIL,14.97,0,General Retail and Wholesale,Discount stores
01/02/2020,DCC - HILLCREST-CP0769859GBP,PINHOE HOARD,43.6,0,Restaurants and Bars,"Bars, taverns, pubs & nightclubs"
02/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,22.98,0,General Retail and Wholesale,Discount stores
02/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,4.99,0,General Retail and Wholesale,Discount stores
02/02/2020,DCC - HILLCREST-CP0769859GBP,HOMEBASE LTD,8.5,0,General Retail and Wholesale,Home supply warehouse stores
02/02/2020,DCC - HILLCREST-CP0769859GBP,GREGGS PLC,8.55,0,Restaurants and Bars,Restaurants
04/02/2020,DCC - HILLCREST-CP0769859GBP,RSS ALPHINGTON,50,0,Automotive Fuel,Service stations
04/02/2020,DCC - HILLCREST-CP0769859GBP,A DIMOND & CO LTD,19.33,0,Books and Periodicals,Book stores
04/02/2020,DCC - HILLCREST-CP0769859GBP,HOME BARGAINS CULLOMPT,38.9,0,General Retail and Wholesale,Hardware stores
04/02/2020,DCC - HILLCREST-CP0769859GBP,PVM SUPPLIES LIMITED,141.83,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
04/02/2020,DCC - HILLCREST-CP0769859GBP,PVM SUPPLIES LIMITED,46.01,0,Miscellaneous Industrial/Commercial Supplies,Misc Industrial supplies
05/02/2020,DCC - HILLCREST-CP0769859GBP,SAINSBURYS S/MKTS,2.7,0,General Retail and Wholesale,Grocery stores
07/02/2020,DCC - HILLCREST-CP0769859GBP,B & Q 1049,3,0,General Retail and Wholesale,Home supply warehouse stores
07/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,49.07,0,General Retail and Wholesale,Grocery stores
08/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,19.99,0,General Retail and Wholesale,Discount stores
08/02/2020,DCC - HILLCREST-CP0769859GBP,HOMEBASE LTD,9,0,General Retail and Wholesale,Home supply warehouse stores
08/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,34.15,0,General Retail and Wholesale,Grocery stores
10/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,69.5,0,General Retail and Wholesale,Grocery stores
11/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,26.99,0,General Retail and Wholesale,Discount stores
11/02/2020,DCC - HILLCREST-CP0769859GBP,AMZNMktplace,56.17,0,General Retail and Wholesale,Miscellaneous retail
